dyn_seed,condition,conv_rate,mean_final_loss,mean_theta_dist,std_theta_dist
0,raw,0.8,1.2385604807064811e-05,0.03685209068324582,0.05895351569098637
0,smooth,0.05,0.010371772339567542,0.4579526513814926,0.08809026342271543
1,raw,0.8,1.3069699558527615e-05,0.037452885473695116,0.06015850733791171
1,smooth,0.0,0.010948065714910627,0.487902969121933,0.09520640340044387
2,raw,0.8,1.1220993042677813e-05,0.037032624911675784,0.05930286352657206
2,smooth,0.05,0.010369598912075163,0.576565220952034,0.10604412966880769
3,raw,0.8,1.2615809866783343e-05,0.037313159840955734,0.05976773257046235
3,smooth,0.05,0.008895000349730254,0.46775803714990616,0.09032130121235592
4,raw,0.8,6.405854273395714e-06,0.037504681019926524,0.06027804967988913
4,smooth,0.0,0.009585519693791867,0.5280208095908165,0.10941862859616706
5,raw,0.8,2.4000262973688077e-05,0.036299532976238426,0.05794146066499384
5,smooth,0.0,0.013545558275654911,0.6773590385913849,0.12104874468867012
6,raw,0.8,1.029665161418923e-05,0.03702473085567846,0.059420923462979204
6,smooth,0.05,0.0097786876372993,0.41407680585980416,0.08554429807199064
7,raw,0.8,1.6207345797722558e-05,0.03667434661123679,0.058653750038808565
7,smooth,0.05,0.010266527161002159,0.40963307693600653,0.08342343480795025
8,raw,0.8,1.3826299586166338e-05,0.03814736023835223,0.06143821104031338
8,smooth,0.0,0.009414259158074856,0.4110580399632454,0.08996110207408438
9,raw,0.8,9.311018274918658e-06,0.03673274623693459,0.058776127613114966
9,smooth,0.0,0.009258910547941923,0.5600642427802086,0.10008053614189542
